ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,label,_id
framing covid-19: how we conceptualize and discuss the pandemic on twitter,using social media to mine and analyze public opinion related to covid-19 in china,p wicke; mm bolognesi,x han; j wang; m zhang; x wang,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",coronavirus; COVID-19; social media; public opinion; China; resource allocation,1,597
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",text similarity in vector space models: a comparative study,h jelodar; y wang; c yuan; x feng; x jiang,o shahmirzadi; a lugowski,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","text similarity, vector space model, text embedding, patent, big data",0,715
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,topic modeling in embedding spaces,s boon-itt; y skunkan,ab dieng; fjr ruiz; dm blei,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,"Embeeding Space, Topic Modeling",0,921
"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",what is wrong with topic modeling? and how to fix it using search-based software engineering,zc lipton,a agrawal; w fu; t menzies,"Machine larning, Model Interpretability","Topic modeling, Stability, LDA, tuning, differential evolution",0,1159
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,research trends on big data in marketing: a text mining and topic modeling based literature analysis,h jelodar; y wang; r orji,a amado; p cortez; p rita; s moro,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",Big data Marketing Literature analysis Research trends Text mining,0,415
applying lda topic modeling in communication research: toward a valid and reliable methodology,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,d maier; a waldherr; p miltner,e de vries; m schoonvelde; g schumacher,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",0,168
top concerns of tweeters during the covid-19 pandemic: infoveillance study,topic compositional neural language model,a abd-alrazaq; d alhuwail; m househ; m hamdi,w wang; z gan; w wang; d shen,"coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ","Neural Language Model, Topic Compositional, Topic Modeling",0,1188
stock movement prediction from tweets and historical prices,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",y xu; sb cohen,zc lipton,"Twitter, Stock Price, Topic Modelling","Machine larning, Model Interpretability",0,1103
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,h jelodar; y wang; r orji,s boon-itt; y skunkan,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,0,411
applications of deep learning in stock market prediction: recent progress,research trends on big data in marketing: a text mining and topic modeling based literature analysis,w jiang,a amado; p cortez; p rita; s moro,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,Big data Marketing Literature analysis Research trends Text mining,1,101
automated phrase mining from massive text corpora,leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,j shang; j liu; m jiang; x ren,y wang; w xu,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning",0,240
applying lda topic modeling in communication research: toward a valid and reliable methodology,the utility of topic modelling for discourse studies: a critical evaluation,d maier; a waldherr; p miltner,g brookes; t mcenery,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",0,155
calibration: the achilles heel of predictive analytics,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",ben van calster; david j mcleron,j treur,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Topic modeling, Network-Oriented Modeling, Adaptive Network",0,355
calibration: the achilles heel of predictive analytics,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,ben van calster; david j mcleron,c bravo gonzález-blas; l minnoye; d papasokrati,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","cis-Regulator, topic modeling",0,333
calibration: the achilles heel of predictive analytics,"sharp nearby, fuzzy far away: how neural language models use context",ben van calster; david j mcleron,u khandelwal; h he; p qi; d jurafsky,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Fuzzy, Topic Modelling, Neutral Language Model",0,363
analyst information discovery and interpretation roles: a topic modeling approach,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",ah huang; r lehavy; ay zang,h jelodar; y wang; c yuan; x feng; x jiang,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",1,49
mapping the anti-vaccination movement on facebook,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",n smith; t graham,h li; j zhu; c ma; j zhang,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,781
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",research trends on big data in marketing: a text mining and topic modeling based literature analysis,w yin; j hay; d roth,a amado; p cortez; p rita; s moro,"Classification, Topic Modelling, Zero-shot text",Big data Marketing Literature analysis Research trends Text mining,0,292
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,x chen; d zou; g cheng; h xie,c bravo gonzález-blas; l minnoye; d papasokrati,Applications in subject areas Data science applications in education,"cis-Regulator, topic modeling",0,467
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,stm: an r package for structural topic models,t shi; k kang; j choo; ck reddy,me roberts; bm stewart; d tingley,"Topic modeling, short texts, non-negative matrix factorization, word embedding","Structural Topic Model, Topic Modeling, Text Classifications",0,1033
