ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,_id
textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,using social media to mine and analyze public opinion related to covid-19 in china,m jošt; e köhnen; ab morales-vilches,x han; j wang; m zhang; x wang,"textured interfaces, solar cells, advance light management",coronavirus; COVID-19; social media; public opinion; China; resource allocation,1137
"sharp nearby, fuzzy far away: how neural language models use context",short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,u khandelwal; h he; p qi; d jurafsky,t shi; k kang; j choo; ck reddy,"Fuzzy, Topic Modelling, Neutral Language Model","Topic modeling, short texts, non-negative matrix factorization, word embedding",998
diachronic word embeddings and semantic shifts: a survey,"social media analytics–challenges in topic discovery, data collection, and data preparation",a kutuzov; l øvrelid; t szymanski; e velldal,s stieglitz; m mirbabaie; b ross,"Word Embedding, Semantic Shift, Topic Modelling ",Social media analytics Social media Information systems Big data,503
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,stm: an r package for structural topic models,s boon-itt; y skunkan,me roberts; bm stewart; d tingley,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,"Structural Topic Model, Topic Modeling, Text Classifications",915
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",t shi; k kang; j choo; ck reddy,zc lipton,"Topic modeling, short texts, non-negative matrix factorization, word embedding","Machine larning, Model Interpretability",1024
topic modeling in management research: rendering new theory from textual data,what do hotel customers complain about? text analysis using structural topic model,tr hannigan; rfj haans; k vakili,n hu; t zhang; b gao; i bose,"topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,1207
text mining in organizational research,using social media to mine and analyze public opinion related to covid-19 in china,vb kobayashi; st mol; ha berkers,x han; j wang; m zhang; x wang,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",coronavirus; COVID-19; social media; public opinion; China; resource allocation,1111
"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,d kim; d seo; s cho; p kang,m jošt; e köhnen; ab morales-vilches,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training","textured interfaces, solar cells, advance light management",800
facebook language predicts depression in medical records,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",jc eichstaedt; rj smith,d kim; d seo; s cho; p kang,"big data, depression, social media, Facebook, screening","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",579
applying lda topic modeling in communication research: toward a valid and reliable methodology,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",d maier; a waldherr; p miltner,h li; j zhu; c ma; j zhang,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",160
